"Could not save the product 360 view data: %1","Could not save the product 360 view data: %1"
"Product 360 view data with id ""%1"" does not exist.","Product 360 view data with id ""%1"" does not exist."
"Could not delete the Product 360 view: %1","Could not delete the Product 360 view: %1"
Enable,Enable
Preview,Preview
"Browse Files...","Browse Files..."
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Delete image","Delete image"
Hidden,Hidden
"We could not detect a size.","We could not detect a size."
"We don't support this file extension type or file size execceds 2MB","We don't support this file extension type or file size execceds 2MB"
"Image Detail","Image Detail"
Webkul,Webkul
"Product 360 view","Product 360 view"
"Product 360 view configurations","Product 360 view configurations"
"360 Frame Time","360 Frame Time"
"Frame time in ms.","Frame time in ms."
"Thumbnail Image","Thumbnail Image"
